"VIDEO","NUMBER_OF_HITS","HIT_INTENSITY","NUMBER_OF_TUG","TOTAL_FRAMES_IN_TUG","NUMBER_OF_JERK_FRAMES","TIME","NUMBER_OF_RINGDROP","VARIANCE","ARC_LENGTH","CURVATURE_MAX_COUNT"
"E1_t10","2","0","2","18","0","11.96","0","0.05282094094165767","2.7503501377594097","1"
"E1_t11","1","1","1","15","0","12.96","0","0.048059820863831995","2.638572574106485","5"
"E1_t12","1","0","3","21","0","20.96","0","0.03956399638602385","3.522527520385354","10"
"E1_t1","2","1","1","7","5","19.96","0","0.06260897738078354","3.8744838094886154","8"
"E1_t2","0","0","1","3","0","10.64","0","0.03923938382542628","1.8863963810206368","7"
"E1_t3","0","0","2","15","3","8.96","0","0.05892976079342574","2.0869972332326046","3"
"E1_t4","1","0","1","14","4","16.84","0","0.05787762715430274","3.8584075770165676","7"
"E1_t5","1","0","1","12","3","11.0","0","0.061005371390542726","2.5891913315914277","4"
"E1_t6","2","0","1","13","0","12.96","0","0.06229714777023381","3.3082889447515424","4"
"E1_t7","1","1","1","25","0","17.76","0","0.036587170012109343","2.6820002555854496","6"
"E1_t8","1","0","3","10","0","12.92","0","0.04353612400462331","2.290342647643304","7"
"E1_t9","1","0","1","14","0","7.64","0","0.0561779531792063","1.8399206426439123","4"
"E2_t10","0","0","0","0","0","9.56","0","0.06254939261013671","2.4446903560813973","4"
"E2_t11","2","0","1","6","0","20.84","0","0.03291537751528499","2.8981863730296387","7"
"E2_t12","0","0","3","20","0","27.52","0","0.03910989744036745","4.395512316618347","7"
"E2_t1","2","0","1","4","0","20.0","0","0.045962197053588776","2.9784748531185086","5"
"E2_t2","2","0","2","34","0","19.84","0","0.03474617667603025","2.8925918183494446","10"
"E2_t3","2","0","1","18","0","11.64","0","0.05192282627697703","2.4954085844237235","3"
"E2_t4","1","0","3","15","0","17.64","0","0.04132445827772644","2.960011954885551","10"
"E2_t5","1","0","0","0","0","11.84","0","0.045975496560790065","2.2533087734797164","6"
"E2_t6","0","0","2","29","0","17.84","0","0.04907781683911139","3.6445027367871443","5"
"E2_t7","2","0","4","61","0","26.84","0","0.03191386118873896","3.8024641222296025","10"
"E2_t8","1","0","0","0","0","16.0","0","0.04316802147304145","2.8406320758752814","6"
"E2_t9","2","0","0","0","0","19.64","0","0.03829271710354921","3.3140565372699204","6"
"E3_t10","0","0","0","0","0","8.76","0","0.04961883813091342","1.8577786119130446","4"
"E3_t11","1","0","2","19","0","15.64","0","0.037135454113719255","2.576943442306513","6"
"E3_t12","2","0","0","0","0","14.8","0","0.038330631813582185","2.2002961098437708","7"
"E3_t1","1","0","1","16","0","18.0","0","0.040856457601721935","2.5695295220839554","8"
"E3_t2","2","0","1","22","0","18.96","0","0.03438613178258578","2.6270435454856753","13"
"E3_t3","1","0","0","0","1","8.76","0","0.05036514214202378","1.8756442370686417","1"
"E3_t4","2","0","2","17","0","11.64","0","0.045615979080772695","2.3535879420203085","5"
"E3_t5","1","0","1","2","0","7.64","0","0.04942127807899211","1.5309132742446763","2"
"E3_t6","0","0","3","6","0","11.96","0","0.05055774216212624","2.579335030635339","3"
"E3_t7","2","0","1","3","0","18.96","0","0.04128033373459119","3.0713845778102256","8"
"E3_t8","2","0","1","2","0","12.76","0","0.05349095685168958","2.6983640688941546","2"
"E3_t9","1","0","1","2","0","10.8","0","0.046518350057589655","2.2122292830760837","2"
"E4_t10","3","0","1","2","6","14.64","0","0.06052838990379749","3.119268354385336","6"
"E4_t11","1","0","1","9","13","24.76","0","0.041581061377885455","4.0230207570375764","13"
"E4_t12","2","0","1","29","7","27.64","0","0.0351698801864397","3.6241783239386214","23"
"E4_t1","1","0","1","23","0","23.56","0","0.035427436777591345","3.14746397795204","13"
"E4_t2","1","1","0","0","0","23.56","0","0.031063150604298016","3.0810589889261712","11"
"E4_t3","0","0","0","0","0","17.56","0","0.049830874191280954","3.2015507306206668","4"
"E4_t4","2","0","1","3","0","18.8","0","0.04816068166753659","3.201307826686539","4"
"E4_t5","1","0","0","0","0","20.56","0","0.0418857919665629","3.5519425255363455","12"
"E4_t6","1","0","0","0","0","24.92","0","0.04165970950209552","4.485187976117644","8"
"E4_t7","1","1","0","0","2","23.8","0","0.034456302785190435","3.3673772239356627","9"
"E4_t8","0","0","0","0","0","36.8","0","0.03712744957688567","4.235505471818384","17"
"E4_t9","2","0","0","0","2","45.72","0","0.04136909817775205","6.4501855250450255","22"
"E5_t10","1","0","0","0","8","9.76","0","0.05957954680983038","2.556394925033878","0"
"E5_t11","2","0","1","13","4","14.76","0","0.044393872528242645","2.4712979267702235","7"
"E5_t12","2","0","0","0","7","13.84","0","0.06067167466079286","3.366643769124935","4"
"E5_t1","0","0","1","2","8","16.96","0","0.042519649342905405","2.6185661126160147","8"
"E5_t2","3","1","2","118","5","27.84","0","0.04625765898376441","4.20561582502112","11"
"E5_t3","1","0","0","0","3","16.0","0","0.06019651826831267","3.563925869726398","3"
"E5_t4","2","0","2","23","18","22.64","0","0.06579046279643751","4.762790759594483","4"
"E5_t5","0","0","0","0","2","12.56","0","0.06535596885712623","3.3881885256484687","3"
"E5_t6","0","0","2","15","5","21.56","0","0.05835677481653155","4.950594268316184","3"
"E5_t7","3","0","5","88","5","21.56","0","0.049275390079003216","3.6799659688565143","9"
"E5_t8","1","0","1","13","9","16.92","0","0.042435778629690696","3.1938312881018835","7"
"E5_t9","2","1","1","18","11","15.64","0","0.05715088405511714","3.7023722742196172","5"
"E6_t10","1","0","8","12","0","25.0","0","0.04182429524722987","4.322527467936773","9"
"E6_t11","3","0","3","44","1","28.56","0","0.04018053663615859","4.669920710786629","10"
"E6_t12","1","0","3","6","1","28.76","0","0.03987499358218172","4.677737019841647","10"
"E6_t1","3","0","1","2","0","29.0","0","0.028332918058405803","3.260181360316567","15"
"E6_t2","3","0","3","58","3","30.0","0","0.02891617023348265","3.465986204164716","19"
"E6_t3","0","0","2","3","0","21.72","0","0.038642560134602884","3.2093065783416295","7"
"E6_t4","3","0","0","0","6","30.6","0","0.043717709944631006","5.359481508062982","7"
"E6_t5","0","0","0","0","1","24.84","0","0.03848674980238279","3.651426835744213","13"
"E6_t6","1","0","0","0","1","22.84","0","0.04220236444354645","3.9745274305229787","9"
"E6_t7","3","0","8","13","9","37.76","0","0.03223387596021528","4.797364025226221","15"
"E6_t8","2","1","20","33","3","30.84","0","0.02716692619335043","3.3963441629517686","14"
"E6_t9","1","0","6","34","0","28.84","0","0.03982500277592581","4.614364638422909","11"
"T1_1_t10","1","0","0","0","2","35.72","0","0.02830938923716448","4.218620359119639","13"
"T1_1_t11","1","0","0","0","4","44.72","0","0.025480873010430366","4.820924123813569","24"
"T1_1_t12","4","1","2","24","7","48.6","0","0.027743656600490704","5.529029931619142","23"
"T1_1_t1","3","0","1","2","0","45.0","0","0.024379516574786333","3.981487761471283","18"
"T1_1_t2","1","0","2","48","0","52.84","0","0.026021030450739724","5.454343302539384","38"
"T1_1_t3","2","0","1","8","1","39.6","0","0.02231024310940942","3.588757165154805","27"
"T1_1_t4","1","0","1","9","0","31.76","0","0.030346052446344713","4.188075939938163","7"
"T1_1_t5","0","0","1","4","1","62.6","0","0.03819120123758032","7.724985921230473","31"
"T1_1_t6","4","0","0","0","8","49.72","0","0.040733129376816446","7.978000452354505","20"
"T1_1_t7","2","0","0","0","2","34.8","0","0.027906563138145032","4.03610347957924","16"
"T1_1_t8","0","0","2","2","4","47.76","0","0.03455412246213283","6.70013821671707","22"
"T1_1_t9","1","0","0","0","2","58.76","0","0.0294067012586623","5.822720346789683","25"
"T3_2_t10","3","0","0","0","3","19.84","0","0.036916216149733165","2.958695505234599","7"
"T3_2_t11","1","1","0","0","1","24.64","0","0.03102985765135293","3.008338145069016","11"
"T3_2_t12","2","0","0","0","6","33.72","0","0.04339892380369702","4.967461605427939","7"
